,,Name,Name,Company (Need to Add),Name,Street 1,Street 2,City,State,Zip Code,Office,Fax,EMail
Quality Construction Logistic,664,Quality Construction Logistic,QUALITY CONSTRUCTION LOGISTIC,,Quality Construction Logistic,,,,,,,,
Quickway,665,Quickway,QUICKWAY,,Quickway,,,,,,,,
"R. Bratti Associates,  Inc",666,"R. Bratti Associates,  Inc","R. BRATTI ASSOCIATES,  INC",,"R. Bratti Associates,  Inc",,,,,,,,
Rainbow Clothing,667,Rainbow Clothing,RAINBOW CLOTHING,,Rainbow Clothing,,,,,,,,
Ram Tool And Supply Co,668,Ram Tool And Supply Co,RAM TOOL AND SUPPLY CO,,Ram Tool And Supply Co,,,,,,,,
Randstad,669,Randstad,RANDSTAD,,Randstad,,,,,,,,
"RBA Engineering Int'L,  PLLC",670,"RBA Engineering Int'L,  PLLC","RBA ENGINEERING INT'L,  PLLC",,"Rba Engineering Int'L,  Pllc",,,,,,,,
"Red Classic Transit,  LLC",671,"Red Classic Transit,  LLC","RED CLASSIC TRANSIT,  LLC",,"Red Classic Transit,  Llc",,,,,,,,
"Red Coats,  Inc",672,"Red Coats,  Inc","RED COATS,  INC",,"Red Coats,  Inc",,,,,,,,
Rehab At Work,673,Rehab At Work,REHAB AT WORK,,Rehab At Work,,,,,,,,
Remington Hotels,674,Remington Hotels,REMINGTON HOTELS,,Remington Hotels,,,,,,,,
"Restaurant Technologies,  Inc",675,"Restaurant Technologies,  Inc","RESTAURANT TECHNOLOGIES,  INC",,"Restaurant Technologies,  Inc",,,,,,,,
Restless Wheels,676,Restless Wheels,RESTLESS WHEELS,,Restless Wheels,,,,,,,,
Restortech,677,Restortech,RESTORTECH,,Restortech,,,,,,,,
Revolution,678,Revolution,REVOLUTION,,Revolution,,,,,,,,
"Rhee Bros,  Inc",679,"Rhee Bros,  Inc","RHEE BROS,  INC",,"Rhee Bros,  Inc",,,,,,,,
Rhine Landscaping,680,Rhine Landscaping,RHINE LANDSCAPING,,Rhine Landscaping,,,,,,,,
Ridgeview Glass,681,Ridgeview Glass,RIDGEVIEW GLASS,,Ridgeview Glass,,,,,,,,
Rite Aid,682,Rite Aid,RITE AID,,Rite Aid,,,,,,,,
River House Enterprises,683,River House Enterprises,RIVER HOUSE ENTERPRISES,,River House Enterprises,,,,,,,,
"River Rock Holdings,  Inc",684,"River Rock Holdings,  Inc","RIVER ROCK HOLDINGS,  INC",,"River Rock Holdings,  Inc",,,,,,,,
"Rnp Remodeling Services,  Inc",685,"Rnp Remodeling Services,  Inc","RNP REMODELING SERVICES,  INC",,"Rnp Remodeling Services,  Inc",,,,,,,,
Roman Mosaic And Tile Co,686,Roman Mosaic And Tile Co,ROMAN MOSAIC AND TILE CO,,Roman Mosaic And Tile Co,,,,,,,,
"Royal Cup,  Inc",687,"Royal Cup,  Inc","ROYAL CUP,  INC",,"Royal Cup,  Inc",,,,,,,,
Royals Commercial Svcs,688,Royals Commercial Svcs,ROYALS COMMERCIAL SVCS,,Royals Commercial Svcs,,,,,,,,
"Rpm International,  Inc",689,"Rpm International,  Inc","RPM INTERNATIONAL,  INC",,"Rpm International,  Inc",,,,,,,,
Rush Towing And Transport,690,Rush Towing And Transport,RUSH TOWING AND TRANSPORT,,Rush Towing And Transport,,,,,,,,
Ruston Paving,691,Ruston Paving,RUSTON PAVING,,Ruston Paving,,,,,,,,
RWN,692,RWN,RWN,,Rwn,,,,,,,,
"RZ Carpentry,  Inc",693,"RZ Carpentry,  Inc","RZ CARPENTRY,  INC",,"Rz Carpentry,  Inc",,,,,,,,
S&A Insulator,694,S&A Insulator,S&A INSULATOR,,S&A Insulator,,,,,,,,
SAA&C Contracting,695,SAA&C Contracting,SAA&C CONTRACTING,,Saa&C Contracting,,,,,,,,
Safe Cleaning,696,Safe Cleaning,SAF CLEANING,,Saf Cleaning,,,,,,,,
Safe & Sound,697,Safe & Sound,SAFE & SOUND,,Safe & Sound,,,,,,,,
Safeway,698,Safeway,SAFEWAY,,Safeway,,,,,,,,
"Sandia Ceramics,  Inc",699,"Sandia Ceramics,  Inc","SANDIA CERAMICS,  INC",,"Sandia Ceramics,  Inc",,,,,,,,
Sarku Japan,700,Sarku Japan,SARKU JAPAN,,Sarku Japan,,,,,,,,
Schmidt Baking Company,701,Schmidt Baking Company,SCHMIDT BAKING COMPANY,,Schmidt Baking Company,,,,,,,,
Schneider National Carriers,702,Schneider National Carriers,SCHNEIDER NATIONAL CARRIERS,,Schneider National Carriers,,,,,,,,
Schuster,703,Schuster,SCHUSTER,,Schuster,,,,,,,,
SCP/Pool Corp,704,SCP/Pool Corp,SCP/POOL CORP,,Scp/Pool Corp,,,,,,,,
Securitas Security Services,705,Securitas Security Services,SECURITAS SECURITY SERVICES,,Securitas Security Services,,,,,,,,
Security Assurance Management,706,Security Assurance Management,SECURITY ASSURANCE MANAGEMENT,,Security Assurance Management,,,,,,,,
Self-Employed,707,Self-Employed,SELF-EMPLOYED,,Self-Employed,,,,,,,,
Sequoia Restaurant,708,Sequoia Restaurant,SEQUOIA RESTAURANT,,Sequoia Restaurant,,,,,,,,
Service Partners,709,Service Partners,SERVICE PARTNERS,,Service Partners,,,,,,,,
Shanti Corporation,710,Shanti Corporation,SHANTI CORPORATION,,Shanti Corporation,,,,,,,,
Sheehy Auto Stores,711,Sheehy Auto Stores,SHEEHY AUTO STORES,,Sheehy Auto Stores,,,,,,,,
Sheehy Honda,712,Sheehy Honda,SHEEHY HONDA,,Sheehy Honda,,,,,,,,
Sheetz,713,Sheetz,SHEETZ,,Sheetz,,,,,,,,
Shenandoah Landscaping,714,Shenandoah Landscaping,SHENANDOAH LANDSCAPING,,Shenandoah Landscaping,,,,,,,,
Sheppard Pratt,715,Sheppard Pratt,SHEPPARD PRATT,,Sheppard Pratt,,,,,,,,
"Shirley Contracting Co,  LLC",716,"Shirley Contracting Co,  LLC","SHIRLEY CONTRACTING CO,  LLC",,"Shirley Contracting Co,  Llc",,,,,,,,
"SHK Management,  Inc",717,"SHK Management,  Inc","SHK MANAGEMENT,  INC",,"Shk Management,  Inc",,,,,,,,
Shoppers,718,Shoppers,SHOPPERS,,Shoppers,,,,,,,,
Shu Ya Inc,719,Shu Ya Inc,SHU YA INC,,Shu Ya Inc,,,,,,,,
Sibley Memorial Hospital,720,Sibley Memorial Hospital,SIBLEY MEMORIAL HOSPITAL,,Sibley Memorial Hospital,,,,,,,,
Siemens Corp,721,Siemens Corp,SIEMENS CORP,,Siemens Corp,,,,,,,,
Silverado Memory Care,722,Silverado Memory Care,SILVERADO MEMORY CARE,,Silverado Memory Care,,,,,,,,
Simco Logistics,723,Simco Logistics,SIMCO LOGISTICS,,Simco Logistics,,,,,,,,
"Simoes Concrete,  Inc",724,"Simoes Concrete,  Inc","SIMOES CONCRETE,  INC",,"Simoes Concrete,  Inc",,,,,,,,
Skyfall Exteriors,725,Skyfall Exteriors,SKYFALL EXTERIORS,,Skyfall Exteriors,,,,,,,,
Slomin Field,726,Slomin Field,SLOMIN FIELD,,Slomin Field,,,,,,,,
Smeso,727,Smeso,SMESO,,Smeso,,,,,,,,
SNT Automotive,728,SNT Automotive,SNT AUTOMOTIVE,,Snt Automotive,,,,,,,,
Solar Energy World,729,Solar Energy World,SOLAR ENERGY WORLD,,Solar Energy World,,,,,,,,
South China Restaurant,730,South China Restaurant,SOUTH CHINA RESTAURANT,,South China Restaurant,,,,,,,,
Southland Industries,731,Southland Industries,SOUTHLAND INDUSTRIES,,Southland Industries,,,,,,,,
Southwest Airlines,732,Southwest Airlines,SOUTHWEST AIRLINES,,Southwest Airlines,,,,,,,,
"Spacesaver Systems,  Inc",733,"Spacesaver Systems,  Inc","SPACESAVER SYSTEMS,  INC",,"Spacesaver Systems,  Inc",,,,,,,,
Specialized Engineering,734,Specialized Engineering,SPECIALIZED ENGINEERING,,Specialized Engineering,,,,,,,,
"Specpro,  Inc",735,"Specpro,  Inc","SPECPRO,  INC",,"Specpro,  Inc",,,,,,,,
SRS,736,SRS,SRS,,Srs,,,,,,,,
St. Joseph Parrish,737,St. Joseph Parrish,ST. JOSEPH PARRISH,,St. Joseph Parrish,,,,,,,,
Stafford County Schools,738,Stafford County Schools,STAFFORD CO. SCHOOLS,,Stafford Co. Schools,,,,,,,,
Starr Endemnity Int'L,739,Starr Endemnity Int'L,STARR ENDEMNITY INT'L,,Starr Endemnity Int'L,,,,,,,,
State Highway,740,State Highway,STATE HIGHWAY,,State Highway,,,,,,,,
State of Maryland,741,State of Maryland,STATE OF MARYLAND,,State Of Maryland,,,,,,,,
"STC Services of VA,  LLC",742,"STC Services of VA,  LLC","STC SERVICES OF VA,  LLC",,"Stc Services Of Va,  Llc",,,,,,,,
"Sterling Gutters,  LLC",743,"Sterling Gutters,  LLC","STERLING GUTTERS,  LLC",,"Sterling Gutters,  Llc",,,,,,,,
Stolburg Landscaping,744,Stolburg Landscaping,STOLBURG LANDSCAPING,,Stolburg Landscaping,,,,,,,,
"Stone Action,  LLC",745,"Stone Action,  LLC","STONE ACTION,  LLC",,"Stone Action,  Llc",,,,,,,,
Stuart Dean Company,746,Stuart Dean Company,STUART DEAN COMPANY,,Stuart Dean Company,,,,,,,,
Suburban Hospital,747,Suburban Hospital,SUBURBAN HOSPITAL,,Suburban Hospital,,,,,,,,
Sunrise Senior Living,748,Sunrise Senior Living,SUNRISE SENIOR LIVING,,Sunrise Senior Living,,,,,,,,
"Superior Iron Works,  Inc",749,"Superior Iron Works,  Inc","SUPERIOR IRON WORKS,  INC",,"Superior Iron Works,  Inc",,,,,,,,
Superior Paving,750,Superior Paving,SUPERIOR PAVING,,Superior Paving,,,,,,,,
"Surrounds,  Inc",751,"Surrounds,  Inc","SURROUNDS,  INC",,"Surrounds,  Inc",,,,,,,,
Swick And Sons,752,Swick And Sons,SWICK AND SONS,,Swick And Sons,,,,,,,,
"Synagro Tech,  Inc",753,"Synagro Tech,  Inc","SYNAGRO TECH,  INC",,"Synagro Tech,  Inc",,,,,,,,
Tamko,754,Tamko,TAMKO,,Tamko,,,,,,,,
Target,755,Target,TARGET,,Target,,,,,,,,
"Td Mccleary,  Inc",756,"Td Mccleary,  Inc","TD MCCLEARY,  INC",,"Td Mccleary,  Inc",,,,,,,,
TDS,757,TDS,TDS,,Tds,,,,,,,,
Team Washington,758,Team Washington,TEAM WASHINGTON,,Team Washington,,,,,,,,
Teamhealth,759,Teamhealth,TEAMHEALTH,,Teamhealth,,,,,,,,
"Telligent Masonry,  LLC",760,"Telligent Masonry,  LLC","TELLIGENT MASONRY,  LLC",,"Telligent Masonry,  Llc",,,,,,,,
Tennant Yard Management,761,Tennant Yard Management,TENNANT YARD MANAGEMENT,,Tennant Yard Management,,,,,,,,
The Atrium Condominium,762,The Atrium Condominium,THE ATRIUM CONDOMINIUM,,The Atrium Condominium,,,,,,,,
The Bowers Group,763,The Bowers Group,THE BOWERS GROUP,,The Bowers Group,,,,,,,,
The Carpet Bagger,764,The Carpet Bagger,THE CARPET BAGGER,,The Carpet Bagger,,,,,,,,
The Davey Tree Expert Company,765,The Davey Tree Expert Company,THE DAVEY TREE EXPERT COMPANY,,The Davey Tree Expert Company,,,,,,,,
The Dittmar Company,766,The Dittmar Company,THE DITTMAR COMPANY,,The Dittmar Company,,,,,,,,
The Hills,767,The Hills,THE HILLS,,The Hills,,,,,,,,
The Home Depot,768,The Home Depot,THE HOME DEPOT,,The Home Depot,,,,,,,,
The Kennedy Center,769,The Kennedy Center,THE KENNEDY CENTER,,The Kennedy Center,,,,,,,,
The Seven Group,770,The Seven Group,THE SEVEN GROUP,,The Seven Group,,,,,,,,
The Terminal Corporation,771,The Terminal Corporation,THE TERMINAL CORPORATION,,The Terminal Corporation,,,,,,,,
The Time Group,772,The Time Group,THE TIME GROUP,,The Time Group,,,,,,,,
The Us Water Culligan Group,773,The Us Water Culligan Group,THE US WATER CULLIGAN GROUP,,The Us Water Culligan Group,,,,,,,,
Thomas Lewis Construction,774,Thomas Lewis Construction,THOMAS LEWIS CONSTRUCTION,,Thomas Lewis Construction,,,,,,,,
Tim & Linda Zardy,775,Tim & Linda Zardy,TIM & LINDA ZARDY,,Tim & Linda Zardy,,,,,,,,
TJ Maxx,776,TJ Maxx,TJ MAXX,,Tj Maxx,,,,,,,,
TKT Construction,777,TKT Construction,TKT CONSTRUCTION,,Tkt Construction,,,,,,,,
TLT Transportation,778,TLT Transportation,TLT TRANSPORTATION,,Tlt Transportation,,,,,,,,
"TMC Produce,  Inc",779,"TMC Produce,  Inc","TMC PRODUCE,  INC",,"Tmc Produce,  Inc",,,,,,,,
Tommy'S Bodyshop,780,Tommy'S Bodyshop,TOMMY'S BODYSHOP,,Tommy'S Bodyshop,,,,,,,,
"Top Gun of Virginia,  Inc",781,"Top Gun of Virginia,  Inc","TOP GUN OF VIRGINIA,  INC",,"Top Gun Of Virginia,  Inc",,,,,,,,
Topper Construction Company,782,Topper Construction Company,TOPPER CONSTRUCTION COMPANY,,Topper Construction Company,,,,,,,,
Total Civil Construction,783,Total Civil Construction,TOTAL CIVIL CONSTRUCTION,,Total Civil Construction,,,,,,,,
"Total Electric,  Inc",784,"Total Electric,  Inc","TOTAL ELECTRIC,  INC",,"Total Electric,  Inc",,,,,,,,
Total Quality Building Svcs,785,Total Quality Building Svcs,TOTAL QUALITY BUILDING SVCS,,Total Quality Building Svcs,,,,,,,,
Town of Va Parks Division,786,Town of Va Parks Division,TOWN OF VA PARKS DIVISION,,Town Of Va Parks Division,,,,,,,,
Toyota Usa,787,Toyota Usa,TOYOTA USA,,Toyota Usa,,,,,,,,
Tracy Lee Alton,788,Tracy Lee Alton,TRACY LEE ALTON,,Tracy Lee Alton,,,,,,,,
Trafalgar Logistics Network,789,Trafalgar Logistics Network,TRAFALGAR LOGISTICS NETWORK,,Trafalgar Logistics Network,,,,,,,,
Transforce,790,Transforce,TRANSFORCE,,Transforce,,,,,,,,
Transitional Housing,791,Transitional Housing,TRANSITIONAL HOUSING,,Transitional Housing,,,,,,,,
Transitions Health Care,792,Transitions Health Care,TRANSITIONS HEALTH CARE,,Transitions Health Care,,,,,,,,
"Trash Away,  Inc",793,"Trash Away,  Inc","TRASH AWAY,  INC",,"Trash Away,  Inc",,,,,,,,
"Tribbles,  Inc",794,"Tribbles,  Inc","TRIBBLES,  INC",,"Tribbles,  Inc",,,,,,,,
Tricon Construction,795,Tricon Construction,TRICON CONSTRUCTION,,Tricon Construction,,,,,,,,
Tricounty Pump Service,796,Tricounty Pump Service,TRICOUNTY PUMP SERVICE,,Tricounty Pump Service,,,,,,,,
Trillium Staffing,797,Trillium Staffing,TRILLIUM STAFFING,,Trillium Staffing,,,,,,,,
Trimark Mechanical,798,Trimark Mechanical,TRIMARK MECHANICAL,,Trimark Mechanical,,,,,,,,
Tri-Net,799,Tri-Net,TRI-NET,,Tri-Net,,,,,,,,
Triwire Engineering,800,Triwire Engineering,TRIWIRE ENGINEERING,,Triwire Engineering,,,,,,,,
"Troon Golf,  LLC",801,"Troon Golf,  LLC","TROON GOLF,  LLC",,"Troon Golf,  Llc",,,,,,,,
Trueblue,802,Trueblue,TRUEBLUE,,Trueblue,,,,,,,,
Turf Valley Resort,803,Turf Valley Resort,TURF VALLEY RESORT,,Turf Valley Resort,,,,,,,,
Tutor Perini,804,Tutor Perini,TUTOR PERINI,,Tutor Perini,,,,,,,,
Tw Perry,805,Tw Perry,TW PERRY,,Tw Perry,,,,,,,,
Ultimate Electric,806,Ultimate Electric,ULTIMATE ELECTRIC,,Ultimate Electric,,,,,,,,
United Airlines,807,United Airlines,UNITED AIRLINES,,United Airlines,,,,,,,,
United Continental Holdings,808,United Continental Holdings,UNITED CONTINENTAL HOLDINGS,,United Continental Holdings,,,,,,,,
United General,809,United General,UNITED GENERAL,,United General,,,,,,,,
"United Transport Service,  Inc",810,"United Transport Service,  Inc","UNITED TRANSPORT SERVICE,  INC",,"United Transport Service,  Inc",,,,,,,,
Universal Health Services,811,Universal Health Services,UNIVERSAL HEALTH SERVICES,,Universal Health Services,,,,,,,,
Universal Hospital Services,812,Universal Hospital Services,UNIVERSAL HOSPITAL SERVICES,,Universal Hospital Services,,,,,,,,
University of Maryland,813,University of Maryland,UNIVERSITY OF MARYLAND,,University Of Maryland,,,,,,,,
UPAP,814,UPAP,UPAP,,Upap,,,,,,,,
Upper Crust Baker,815,Upper Crust Baker,UPPER CRUST BAKER,,Upper Crust Baker,,,,,,,,
UPS,816,UPS,UPS,,Ups,,,,,,,,
US Coast Guard Exchange,817,US Coast Guard Exchange,US COAST GUARD EXCHANGE,,Us Coast Guard Exchange,,,,,,,,
US Dept of Commerce,818,US Dept of Commerce,US DEPT OF COMMERCE,,Us Dept Of Commerce,,,,,,,,
US Foods,819,US Foods,US FOODS,,Us Foods,,,,,,,,
US Naval Academy,820,US Naval Academy,US NAVAL ACADEMY,,Us Naval Academy,,,,,,,,
US PTO,821,US PTO,US PTO,,Us Pto,,,,,,,,
USPS,822,USPS,USPS,,Usps,,,,,,,,
VA Maryland Health Care System,823,VA Maryland Health Care System,VA MARYLAND HEALTH CARE SYSTEM,,Va Maryland Health Care System,,,,,,,,
VA Tire & Auto,824,VA Tire & Auto,VA TIRE & AUTO,,Va Tire & Auto,,,,,,,,
Vada Group,825,Vada Group,VADA GROUP,,Vada Group,,,,,,,,
Velasques Construction,826,Velasques Construction,VELASQUES CONSTRUCTION,,Velasques Construction,,,,,,,,
Verizon,827,Verizon,VERIZON,,Verizon,,,,,,,,
Veterinary Health Group,828,Veterinary Health Group,VETERINARY HEALTH GROUP,,Veterinary Health Group,,,,,,,,
"Vinson Hall,  LLC",829,"Vinson Hall,  LLC","VINSON HALL,  LLC",,"Vinson Hall,  Llc",,,,,,,,
Virginia Hospital Center,830,Virginia Hospital Center,VIRGINIA HOSPITAL CENTER,,Virginia Hospital Center,,,,,,,,
Vivint Solar,831,Vivint Solar,VIVINT SOLAR,,Vivint Solar,,,,,,,,
"VNA Holdings,  Inc",832,"VNA Holdings,  Inc","VNA HOLDINGS,  INC",,"Vna Holdings,  Inc",,,,,,,,
Vulcan Materials Company,833,Vulcan Materials Company,VULCAN MATERIALS COMPANY,,Vulcan Materials Company,,,,,,,,
Wagman Company,834,Wagman Company,WAGMAN COMPANY,,Wagman Company,,,,,,,,
Waldorf Chevy,835,Waldorf Chevy,WALDORF CHEVY,,Waldorf Chevy,,,,,,,,
Walgreens,836,Walgreens,WALGREENS,,Walgreens,,,,,,,,
Walmart,837,Walmart,WALMART,,Walmart,,,,,,,,
"Walter'S Relocations,  Inc",838,"Walter'S Relocations,  Inc","WALTER'S RELOCATIONS,  INC",,"Walter'S Relocations,  Inc",,,,,,,,
Waring Hotels,839,Waring Hotels,WARING HOTELS,,Waring Hotels,,,,,,,,
Washington Area Transit Facility,840,Washington Area Transit Facility,WASHINGTON AREA TRANSIT FACILITY,,Washington Area Transit Facility,,,,,,,,
Washington County,841,Washington County,WASHINGTON CO.,,Washington Co.,,,,,,,,
Washington County Public Schools,842,Washington County Public Schools,WASHINGTON CO. PUBLIC SCHOOLS,,Washington Co. Public Schools,,,,,,,,
Washington Hospital Center,843,Washington Hospital Center,WASHINGTON HOSPITAL CENTER,,Washington Hospital Center,,,,,,,,
Waterlogic,844,Waterlogic,WATERLOGIC,,Waterlogic,,,,,,,,
"WAWA,  Inc",845,"WAWA,  Inc","WAWA,  INC",,"Wawa,  Inc",,,,,,,,
Washington Co. BOE,846,Washington Co. BOE,WASHINGTON CO. BOE,,Washington Co. Boe,,,,,,,,
"Weather Control,  Inc",847,"Weather Control,  Inc","WEATHER CONTROL,  INC",,"Weather Control,  Inc",,,,,,,,
Wegmans Food Markets,848,Wegmans Food Markets,WEGMANS FOOD MARKETS,,Wegmans Food Markets,,,,,,,,
Weis Markets,849,Weis Markets,WEIS MARKETS,,Weis Markets,,,,,,,,
Wells Fargo,850,Wells Fargo,WELLS FARGO,,Wells Fargo,,,,,,,,
"Western Branch Diesel,  Inc",851,"Western Branch Diesel,  Inc","WESTERN BRANCH DIESEL,  INC",,"Western Branch Diesel,  Inc",,,,,,,,
"Westminster Mgmt,  LLC",852,"Westminster Mgmt,  LLC","WESTMINSTER MGMT,  LLC",,"Westminster Mgmt,  Llc",,,,,,,,
Westminster Presbyterian,853,Westminster Presbyterian,WESTMINSTER PRESBYTERIAN,,Westminster Presbyterian,,,,,,,,
White Street Brewing,854,White Street Brewing,WHITE STREET BREWING,,White Street Brewing,,,,,,,,
Whole Foods,855,Whole Foods,WHOLE FOODS,,Whole Foods,,,,,,,,
"William A. Hazel,  Inc",856,"William A. Hazel,  Inc","WILLIAM A. HAZEL,  INC",,"William A. Hazel,  Inc",,,,,,,,
Winchester Harley Davidson,857,Winchester Harley Davidson,WINCHESTER HARLEY DAVIDSON,,Winchester Harley Davidson,,,,,,,,
Wingate Mgmt Co,858,Wingate Mgmt Co,WINGATE MGMT CO,,Wingate Mgmt Co,,,,,,,,
"Wings Enterprises,  Inc",859,"Wings Enterprises,  Inc","WINGS ENTERPRISES,  INC",,"Wings Enterprises,  Inc",,,,,,,,
Winston Gutter Service,860,Winston Gutter Service,WINSTON GUTTER SERVICE,,Winston Gutter Service,,,,,,,,
Wisbettac Asian Foods,861,Wisbettac Asian Foods,WISBETTAC ASIAN FOODS,,Wisbettac Asian Foods,,,,,,,,
WMATA,862,WMATA,WMATA,,Wmata,,,,,,,,
"Wolseley Investments,  Inc",863,"Wolseley Investments,  Inc","WOLSELEY INVESTMENTS,  INC",,"Wolseley Investments,  Inc",,,,,,,,
Woodbine Rehab & Healthcare,864,Woodbine Rehab & Healthcare,WOODBINE REHAB & HEALTHCARE,,Woodbine Rehab & Healthcare,,,,,,,,
WR Grace & Co,865,WR Grace & Co,WR GRACE & CO,,Wr Grace & Co,,,,,,,,
WVU Hospital,866,WVU Hospital,WVU HOSPITAL,,Wvu Hospital,,,,,,,,
"Wymond Associates,  LLC",867,"Wymond Associates,  LLC","WYMOND ASSOCIATES,  LLC",,"Wymond Associates,  Llc",,,,,,,,
WMATA,868,Youth For Tomorrow,YOUTH FOR TOMORROW,,Youth For Tomorrow,,,,,,,,
YRC Worldwide,869,YRC Worldwide,YRC WORLDWIDE,,Yrc Worldwide,,,,,,,,
ZRS Management,870,ZRS Management,ZRS MANAGEMENT,,Zrs Management,,,,,,,,
Not Provided,871,Not Provided,Not Provided,,Not Provided,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,